"","year","Community.Name","PCTUNEMPLD","PCTNODIPLOMA","PCTPOV","PCTFEMALESEPARATD","POPWNPCT","PCTHFOFMNOHS","POP0_5PCT","PCTSPKENGNTWL","PCTFORBRN","PUBLICASSIST","PCT65POV","PCTFMINPOV","PCTCHLDPOV","PCTEMPFEMA","PCTLABFORCE","PCTRECSOC","MED_GRRNT","MED_MTMRG","HUMNR","PCTMBLHM","PCTAGRFRFSH","POPDENS"
"177","2016","Beach City, TX",4.8,9.2,4.7,1.8,88.3,7.6,6.3,3.7,1.7,0,0,2.3,1.3,49.3,56.9,38.7,923,2022,6.3,16.5,6.8,562
"178","2016","Beach Haven, NJ",4.1,0.8,6.2,0.6,96.8,5.3,2.2,0.8,2.4,2.5,2.1,5.1,7.3,41.7,48.7,52.5,1175,2852,5.8,0.5,0,1042.5
"179","2016","Beachwood, NJ",5.4,5.9,9.3,1,89.5,13.7,7.1,1.8,3.9,1.3,3.9,7.6,15.2,62.6,71.1,29.1,1614,1851,6.3,0,0,3913.2
"180","2016","Beacon Square, FL",5.7,8.8,23.7,3.1,88.4,16.3,6.1,5.6,9.7,9.8,18.3,15.1,35.5,35.9,44.5,44,949,963,4.4,3.9,0,3468.2
"181","2016","Bear Creek, AK",4.1,7.3,10.8,7.1,84,0,4.6,1.4,5,4.9,0,3.7,0,60.5,81.4,20.2,886,1603,3.3,16.5,19.8,36.5
"182","2016","Bear Creek, FL",4.6,8.4,21.4,0,85.3,8.6,5.8,3.3,10.1,0,7.4,19.4,57.1,52.4,61.5,40,1120,1696,5.1,5.2,1.3,4898
"183","2016","Bear, DE",5.5,9.1,11.4,1.3,40.7,12.3,6.4,10.3,16.3,1.8,5.9,9.3,18.7,63.6,71.5,24.4,1342,1470,5.8,20,1.3,3486.2
"184","2016","Beaufort, NC",6.8,7.4,20.8,4.4,80.4,11.1,4.6,1.7,4,4.3,11.9,15.2,44.1,53.1,59.8,41.3,782,1268,5.2,2.4,0.3,905.5
"185","2016","Beaufort, SC",3.4,6.7,20.6,2.7,54.4,19.7,9.5,3.3,5.1,2.6,3.9,16.4,33.3,62.1,68.5,25.2,839,1603,5.2,2.3,0.6,467.3
"186","2016","Beaumont, TX",4.1,8.3,20.8,3.2,33.1,18.8,7.6,6.5,10.3,0.7,10.9,16,32.1,50.6,60.7,31.3,787,1228,5.2,1.6,1.3,1433.2
"187","2016","Beaux Arts Village, WA",3.9,0,1.6,1.4,89.4,2.4,3.3,1.1,6,0,1.6,2.1,0,41.9,61,38.2,1325,3909,8,0,0,4429.4
"188","2016","Bedford Hills, NY",6.8,1.9,5.4,0,53.3,11.3,7.9,32.1,39.7,1.2,3.7,6.1,5,57.7,70.3,21.6,1392,2514,4.2,0,0,3416
"189","2016","Bee Ridge, FL",3.6,6.2,8.7,1.4,90.6,8.1,5.8,2,7.8,0.6,8.8,4,7.6,45.9,52.3,50.6,1254,1561,5.4,1.5,0.5,2673
"190","2016","Belfair, WA",3,8.5,24,4.8,78.7,17,6.3,12.2,13.4,6.3,3.2,20.9,38.8,39.8,51,29.4,847,1289,4.6,26.8,6.8,519.3
"191","2016","Belfast, ME",5.7,4.5,22.6,1.1,94.7,13.5,7.6,2.9,5.9,2.8,8.1,15.6,31.6,52.8,58.1,41.1,764,1547,5.1,8.9,2,195.3
"192","2016","Belford, NJ",1.7,2.6,3.3,0.9,79.8,6.8,4.3,1.3,6.4,1.2,0,0,3.8,61.6,71.5,25.8,1990,2789,6.8,0,0,1228.6
"193","2016","Belhaven, NC",7.5,22.8,31.8,0.5,46.5,15.7,3,7.3,5.6,2.4,17.1,27.5,51.2,35.9,44.7,55.5,445,1186,5.2,27.3,5.4,1112.1
"194","2016","Bell Canyon, CA",3.2,1.9,3.4,1.5,71.6,8.5,3.3,2.5,18,1,1,0.5,6.2,60.5,66.8,23.7,3500,4000,9,0,0.6,596.1
"195","2016","Bell Gardens, CA",6.7,21.9,29.4,2.6,3.1,23.7,9.3,44.1,43.1,8.3,25,26.7,39,47,63.5,18.3,1142,1671,4.1,3.2,0.5,17410.6
"196","2016","Bell, CA",7.4,22.1,25.3,2.6,4.5,22.4,8.3,41,41.9,7.1,20.1,21.6,33.9,49.1,64.6,19.6,1023,1784,4,3.8,0.9,14367.9
"197","2016","Bellaire, TX",1.3,1.4,1.7,0.5,67.7,4.5,7.1,5.2,20,0.3,2.5,1,0.4,51.4,64.3,19.5,1630,4000,7.7,0.2,4.1,5053.1
"198","2016","Belle Chasse, LA",2.4,7.5,8,2.7,81.4,15.1,9.3,3.1,5.1,0.8,8.3,6.6,10.4,55.5,70.2,20.9,1058,1871,5.7,9.2,6.1,550.6
"199","2016","Belle Glade, FL",9.1,15.6,37.4,5.9,9.9,25.3,8.4,27.4,29,14.5,34.6,29.6,47.3,47,58.9,30.8,633,1327,4.3,12.4,20.5,3367.1
"200","2016","Belle Rose, LA",6.8,10.4,13.1,5.2,49.4,28.7,3.9,0,0,1.3,10.1,12,13,34,47.4,45.9,870,1079,6.1,23.6,1.6,337.8
"201","2016","Belleair Beach, FL",2.1,3,5.2,0.9,90.9,3.8,3.6,3.7,11.8,1.5,5.7,3.6,11.9,30.5,39.2,51,2301,3263,5.5,0.9,2.1,3312.4
"202","2016","Belleair Bluffs, FL",4.7,3.3,11.6,3.5,94.8,9,3.5,3,9.6,0.3,9.8,8.9,16.7,42.7,52.8,47.2,924,1319,4.7,0,1,5010.9
"203","2016","Belleair, FL",6.2,3,3,1.5,90.9,6.8,3.8,2,10.2,0.4,2.2,0.9,3.4,46.7,56.7,44.5,1398,2202,6,1,0.4,2301
"204","2016","Bellefonte, DE",4.5,4.7,5.3,2.4,89.8,9,5.3,0,1.7,0.8,13.5,1.9,1.9,71.5,76.9,18.6,879,1414,6.6,0,0,6961.3
"205","2016","Bellevue, WA",3.4,1.9,7.5,1,52.6,7.6,5.8,16.6,37,2.1,6.6,5.4,8.6,52.8,66.8,22.6,1629,2657,5.4,0.2,0.2,4083.6
"206","2016","Bellflower, CA",5.1,10.7,17,3,16.4,20.3,7.4,20.7,30.9,3.9,13.8,13,22.8,48.9,61.6,23.9,1195,1989,4.3,5.7,0.5,12698.2
"207","2016","Bellingham, MA",8.1,2.3,1.1,2.5,89.3,9.9,5.7,9.4,11.7,2.4,7.6,0,0,64.6,74.5,33.4,1461,1748,6,0,0,999.7
"208","2016","Bellingham, WA",5.1,4.8,22.2,2,79,9.4,4.6,5,10.2,2.8,10.5,12.4,16.2,55.9,64.2,28,925,1615,4.8,3,1.1,3050.6
"209","2016","Bellmawr, NJ",7.4,8.1,18,2.9,78.7,14.4,5.2,13.1,15.7,5.9,12.7,15.7,33.4,55.2,65.3,35.4,808,1702,5.4,0.4,0,3834.4
"210","2016","Bellmore, NY",3.6,3.7,2.2,1.8,88,8.5,6.2,4.7,9.3,1.3,2.8,1.3,1.4,59.4,68.7,32.9,1909,3225,6.8,0.6,0.3,6662.1
"211","2016","Bellport, NY",1.5,3,3.7,3.3,92.6,8.8,5.2,1.4,8.4,1.9,3.1,3.8,3.4,48.2,56.7,49.3,1697,2795,7,0,0,1383.1
"212","2016","Bellview, FL",4.3,5.2,9.6,3,71,13.5,7,1.6,4.5,1.4,4.1,6,22.8,54.2,62.8,33.9,1042,1054,5.7,10,0.3,1912.1
"213","2016","Belmar/South Belmar, NJ",6.6,5.7,11.4,1,81.2,6.2,2.8,8.7,13.3,0.7,5.4,9.6,23.2,57.5,66.6,31.6,1349,2181,4.8,0.7,0.3,5443.1
"214","2016","Belmont, CA",3.4,2.4,4.7,0.8,56,6.9,6.1,11.1,31.1,0.6,5.8,2.9,5.4,58.3,68.2,28.7,1784,3555,5.3,0,0.3,5809
"215","2016","Belmont, ME",4.4,11.8,9.7,2.9,95.9,15.9,4.2,0.4,1.6,5.9,5.8,3.2,9.8,48,58.8,40.1,647,1120,5.4,23.1,4,72.7
"216","2016","Belvedere, CA",2.1,0,2.3,3.3,87.4,2.7,4.8,3.5,14,1,3.5,2.8,0,24.5,42.7,45.3,2408,4000,6.6,0,0.8,3883.5
"217","2016","Belville, NC",4.7,4,3.2,3.7,69.3,12.6,6.4,0.6,4.2,0.8,1.9,1.7,1.7,63.4,73.8,26.4,1256,1191,5.9,0.6,0.4,1508.3
"218","2016","Ben Lomond, CA",3.2,1.9,10.9,1.8,83.3,10.7,6.9,3.2,6.9,2,1.6,5,13.8,60.9,65.8,24,1407,2406,5.3,1.9,1.2,786.3
